mod_id,mod_mrc_id,model,trim,body,mod_trm_id
336,1,Aveo,Aveo5 LS,Hatchback,1
337,12,Sentra,SR,Sedan,1
338,27,Mazda3,i Touring,Sedan,2
339,24,HS 250h,Base,Sedan,1
340,13,1 Series,135i,Convertible,1
341,14,Lucerne,CXL,Sedan,1
342,21,Wrangler,Sahara,SUV,1
343,10,FJ Cruiser,Base,SUV,1
344,14,LaCrosse,CXS,Sedan,1
345,10,Avalon,XL,Sedan,1
346,11,Jetta,TDI,Sedan,1
347,9,Challenger,SXT,Coupe,1
348,36,Continental GT,Base,Coupe,1
349,9,Ram Pickup 1500,SLT,Quad Cab,1
350,5,Flex,SE,Wagon,1
351,13,5 Series,528i,Sedan,1
352,10,Tundra,Tundra FFV,CrewMax Cab,1
353,13,5 Series,550i,Sedan,1
354,1,Camaro,LT,Coupe,1
355,3,E-Class,E350,Coupe,1
356,19,Sierra 1500,SLE1,Extended Cab,1
357,1,Volt,Base,Hatchback,1
358,24,RX 330,Base,SUV,1
359,4,Civic,EX,Coupe,1
360,24,ES 330,Base,Sedan,1
361,17,G Sedan,G25,G Sedan,1
362,26,MKT,Base,Wagon,1
363,5,Ranger,XL,Regular Cab,1
364,25,G6,Value Leader,Sedan,1
365,9,Durango,Crew,SUV,1
366,29,V60,T5 Drive-E,Wagon,1
367,14,Regal,Premium I,Sedan,1
368,3,Sprinter,2500 144 WB Passenger,Van,1
369,19,Yukon XL,SLE 1500,SUV,1
370,17,G35,Base,Coupe,2
371,17,QX,QX56,SUV,1
372,31,1500,ST,Quad Cab,1
373,1,Impala,SS,Sedan,1
374,2,Sportage,LX,SUV,2
375,3,C-Class,C230 Sport,Sedan,1
376,10,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,1
377,3,M-Class,ML350 4MATIC,SUV,1
378,5,Escape,XLS,SUV,1
379,3,CLA-Class,CLA250,Sedan,1
380,3,S-Class,S550 4MATIC,Sedan,1
381,34,LR2,HSE,SUV,1
