mod_id,mod_mrc_id,model,trim,body,mod_trm_id
2199,16,Galant,GTS V6,Sedan,1
2200,4,Xterra,Off-Road,SUV,1
2201,36,GTO,Base,Coupe,2
2202,4,Xterra,Off-Road,SUV,2
2203,26,Boxster,Base,Convertible,2
2204,26,911,Turbo S,Coupe,2
2205,36,Grand Am,SE Fleet,Sedan,1
2206,4,Titan,LE,King Cab,1
2207,36,Bonneville,GXP,Sedan,1
2208,42,Forenza,S,Sedan,1
2209,23,Camry,SE,Sedan,2
2210,42,Verona,S,Sedan,1
2211,24,Baja,Sport,Crew Cab,2
2212,24,Outback,2.5i,Wagon,1
2213,23,ECHO,Base,Coupe,1
2214,23,Corolla,LE,Sedan,2
2215,24,Legacy,2.5 GT,Sedan,1
2216,23,Matrix,Base,Wagon,1
2217,22,New Beetle,GL,Hatchback,2
2218,22,Jetta,Value Edition,Sedan,2
2219,6,A4,3.0 quattro,Sedan,2
2220,6,A6,3.0 quattro,Sedan,1
2221,3,XC70,Base,Wagon,1
2222,2,3 Series,325Ci,Convertible,1
2223,6,A4,1.8T quattro,Sedan,2
2224,6,A6,3.0 Avant quattro,Wagon,1
2225,9,RL,3.5,Sedan,1
2226,9,TSX,Base,Sedan,2
2227,5,Silverado 1500,Base,Regular Cab,1
2228,2,Z4,2.5i,Convertible,2
2229,2,Z4,2.5i,Convertible,1
2230,5,Silverado 1500,Base,Regular Cab,2
2231,2,X5,4.8is,SUV,1
2232,5,Silverado 1500,Z71,Extended Cab,1
2233,29,Concorde,LX,Sedan,1
2234,5,Silverado 2500,LT,Crew Cab,1
2235,5,Blazer,Xtreme,SUV,1
2236,29,Crossfire,Base,Hatchback,2
2237,29,300M,Base,Sedan,1
2238,29,Sebring,GTC,Convertible,1
2239,29,Concorde,Limited,Sedan,1
2240,5,Venture,LT Entertainer,Minivan,1
2241,7,Escape,XLS,SUV,2
2242,27,Intrepid,SE,Sedan,1
2243,27,Stratus,SXT,Coupe,1
2244,7,Explorer,XLS Sport,SUV,1
2245,7,F-150 Heritage,XL,Regular Cab,1
